"sentence"	"wordid"
"Also, the characters do not suffer from fear of creatures as they do in the <console> versions."	"console_nou"
"It is the first of the entire series to not be released exclusively for a PlayStation <console>."	"console_nou"
"The MorphOS Shell is an example of Z shell mixed with the KingCON <console> handler."	"console_nou"
"The Hi-N-Lo range selection was still performed using a shift lever on the <console>."	"console_nou"
"Contrary to rumour, there is no nude code in any <console> version of the game."	"console_nou"
"Ghost 6.0, released in 2000, includes a management <console> for managing large numbers of machines."	"console_nou"
"The MSX2 version was also re-released in Japan as a digital download for mobile phones and the Wii Virtual <Console>."	"console_nou"
"But that doesn't mean that you should throw away your <console> tomorrow."	"console_nou"
"Though powerful for its time, the CRAY XMS only had half the processing power of Microsoft's original Xbox gaming <console>."	"console_nou"
"The PlayStation Link Cable (SCPH-1040) is a peripheral cable for the PlayStation <console>."	"console_nou"
"It was originally released for the Atari 8-bit family and the Atari 5200 games <console>."	"console_nou"
"The company started by producing a few titles for the Sharp X68000 system, and then for other <console> systems."	"console_nou"
"Famitsu stated that all the 35 <console> characters, plus all the systems, would be on the 3DS release."	"console_nou"
"The Tapwave Zodiac <Console> Now ShippingTapwave Discontinues Zodiac BusinessNow closed."	"console_nou"
"Valve formally announced that it was considering developing a video game <console> near the end of 2012."	"console_nou"
"His father uses his wisdom of experience to <console> him."	"console_vrb"
"If the <console> freezes occasionally, the error will not necessarily follow."	"console_nou"
"Under Microsoft Windows XP, SpeedStep support is built into the power management <console> under the control panel."	"console_nou"
"The Nintendo 2DS is a handheld game <console> developed by Nintendo."	"console_nou"
"Nintendo designed the 10NES lock-out system to prevent unauthorized games from running on its video game <console>, the NES."	"console_nou"
"Digger T. Rock is also the first Rare game released for a Nintendo <console>."	"console_nou"
"The Neve replaced the last SSL G series <console> which was sold to Charles Allin, Owner of Montana Recording Studio."	"console_nou"
"Newell saw Sony's publication model as more open, allowing Steam-like features to be used on the <console>."	"console_nou"
"Disney commissioned N-Space to develop a series of multiplayer games based on Tron: Legacy for the Wii <console>."	"console_nou"
"But there was no way to interface a game <console> or joystick to the Altair."	"console_nou"
"The Game Boy Color release features entirely different game play from its <console> and PC counterparts."	"console_nou"
"The PlayStation Multitap is a peripheral for the PlayStation <console>."	"console_nou"
"This allows for greater flexibility in placement of the <console> for various activities."	"console_nou"
"Criticism was brought to the controls on the <console> ports."	"console_nou"
"After the announcement, several journalists classified the system as the first eighth generation home <console>."	"console_nou"
"Mixing was done on a Mackie mixing <console>."	"console_nou"
"The organ <console> itself was moved in a general redevelopment of the church in 1995."	"console_nou"
"Popular Korean actor Jang Dong-gun and Ahn Sung-ki has been enlisted to help promote the <console>."	"console_nou"
"The planet Nintendu 64 is a reference to the game <console> Nintendo 64."	"console_nou"
"The facility represented a <console> system supported by 58 pylons."	"console_nou"
"It's the only <console> game in the series to lack a multiplayer mode."	"console_nou"
"Bombarded with gunfire, the Slayer runs behind a computer <console> for cover."	"console_nou"
"Monkey Magic (モンキーマジック) is a video game developed by Electro Source and published by Atari on the PlayStation <console>."	"console_nou"
"PC gaming remained popular throughout the decade, but was in an overall decline as <console> graphics technically advanced."	"console_nou"
"The <console> was also panned for missing certain promised features on-launch, such as Upload Studio, game streaming, and certain apps/services."	"console_nou"
"In 1988, the company released the Logic 1; it was the first dynamically configurable, fully automated digital mixing <console>."	"console_nou"
"This version is used by XNA Framework to run managed games on the <console>."	"console_nou"
"The <console> also features high definition (HD), Internet access, and allows running Windows games."	"console_nou"
"The Nintendo 3DS uses the HOME Menu and Nintendo eShop to access and purchase Virtual <Console> titles, respectively."	"console_nou"
"This is the first game in the series to be released on <console>, specifically Xbox 360."	"console_nou"
"It is the first gaming <console> to allow 3D viewing without the need for 3D glasses or an equivalent."	"console_nou"
"For concerts, this <console> may be moved to the front of the chancel in full view of the audience."	"console_nou"
"Comm100 Live Chat consists of 3 parts: web chat window, operator <console> and control panel."	"console_nou"
"The <console> launched in the United States with a line-up of eight titles, including Trailblazer."	"console_nou"
"In 2006, Sony cut the cost of the <console> in anticipation of the release of the PlayStation 3."	"console_nou"
"The Eucalyptus User <Console> provides an interface for users to self-service provision and configure compute, network, and storage resources."	"console_nou"
"According to Roberts, it was inspired by <console> action-adventures, particularly The Legend of Zelda."	"console_nou"
"<Console> or switchboard allows the operator to control incoming calls."	"console_nou"
"The original GameKing <console> is a 8-bit handheld game console."	"console_nou"
"The <console> had a built-in RF modulator, as well as audio-video RCA connectors."	"console_nou"
"The game's release has been regarded as important in the history of the <console> RPG."	"console_nou"
"Wii Speak is a microphone accessory for Nintendo's Wii video game <console>."	"console_nou"
"The mayor (or <console>) was alternately appointed during five years by Intragna, then by one provided by Golini and Verdasio."	"console_nou"
"She then goes to a back room, revealing Ashildr and the TARDIS <console>."	"console_nou"
"Prior to the Vectrex's discontinuation, a successor <console> with a color screen had been planned."	"console_nou"
"Regular mentions are various iterations of Madden, various games from The Sims series, <console> bundles, and, surprisingly, Nancy Drew games."	"console_nou"
"The levels differ between the different <console> versions."	"console_nou"
"The <console> is shaped just like a tower PC and was meant to be similarly upgradeable."	"console_nou"
"The Bonus Edit mode adds songs from 3rdMix that were excluded from the previous <console> port."	"console_nou"
"It received Gamasutra's award for Best Downloadable <Console> Game for 2010."	"console_nou"
"In 2002, the game was awarded ""<Console> Racing Game of the Year"" at the 6th Annual Interactive Achievement Awards."	"console_nou"
"In addition to this, the swell to great coupler was changed and detail to the <console> was added."	"console_nou"
"Mallrats shows the character Brodie (Jason Lee) playing an ice hockey game on the Sega Genesis game <console>."	"console_nou"
"Controls at the <console> called stops select which ranks and pipes are used."	"console_nou"
"The Liquid Crystal Display on the <console> displays measured and calculated data."	"console_nou"
"The dignitaries at the court of King Kavus try to <console> her."	"console_vrb"
"The BGM is completed with tracks with noticeable <console>-RPG style."	"console_nou"
"It was developed by Game Freak and published by Nintendo for the Nintendo DS handheld game <console>."	"console_nou"
"The shareware version of a <console> port for the Dreamcast was also released."	"console_nou"
"The fitting of a foglight switch to one of the center <console> dummy switches."	"console_nou"
"It was published on the Wii U Virtual <Console> on October 16, 2014, in North America."	"console_nou"
"The vertical stand is attached to the PlayStation 2 <console> to allow it to stand vertically."	"console_nou"
"Self-XSS operates by tricking users into copying and pasting malicious content into their browsers' web developer <console>."	"console_nou"
"Inserting the game in a Game Boy Advance unlocked a <console>-exclusive world with three new levels."	"console_nou"
"The Walker <console> was removed in 1999 when Andrew Carter installed a replacement 5 manual drawstop console built by Nicholson."	"console_nou"
"It can be run from command line in <console>."	"console_nou"
"The next-gen <console> versions are better equipped to handle these updates due to their extra processing power."	"console_nou"
"Tram cars can be used autonomously as well as in multiple units, controlled from single <console>."	"console_nou"
"Later, when they both decide play with the <console>, the TV opens into portal and sucks them into the game."	"console_nou"
"GamesRadar listed Pokémon Pinball as one of the titles they want in the 3DS Virtual <Console>."	"console_nou"
"The <console> versions feature clips from the film, which play before and after each level."	"console_nou"
"Created by Michelle Sternberger in 2005, she makes music using 8-bit computers and video game <console> sound chips."	"console_nou"
"The plot of the PC game differs drastically from the main <console> versions."	"console_nou"
"The arcade version debuted on the Wii Virtual <Console> in Japan on April 27, 2010."	"console_nou"
"Later he became intimate with the Prince <Consort> and the Duke of Leinster."	"consort_nou"
"The two were ancestors of Queen <consort> Catherine Parr."	"consort_nou"
"Bernhardt was eventually forced to remove him from his post and reduce him to Prince <Consort>."	"consort_nou"
"The shrine of the <consort> of Hara Saabha Vimochana, Kamalavalli or Kamala Nachiyar, is located in the first precinct."	"consort_nou"
"In the Nepalese and Tibetan Buddhist tradition, Vishvavajri becomes Acala's <consort>."	"consort_nou"
"The 20th-century historical text Draft History of Qing incorrectly recorded Imperial Noble <Consort> Chunhui's family name as ""Sugiya"" (蘇佳)."	"consort_nou"
"While the details of Panji's <consort>, Chandra Kirana, was based on queen Cri Kirana."	"consort_nou"
"The ensemble has an associated choral group, Choir of The King's <Consort>."	"consort_nou"
"Although she was not an official <consort> of the crown prince, she received treatment just like one."	"consort_nou"
"He is a <consort> of Mayahuel, who is a mask-avatar of Xochiquetzal."	"consort_nou"
"Recently, she had captured Captain America and had him mutated into Spider-King to stand as her <consort>."	"consort_nou"
"As queen <consort>, Zenobia remained in the background and was not mentioned in the historical record."	"consort_nou"
"After the young Grand Duke chose Juliane, she began her training as a <consort>."	"consort_nou"
"He was the son of the late Louise Hippolyte, Princess of Monaco and her <consort> Jacques Goyon de Matignon."	"consort_nou"
"Queen Tripurasundari of Nepal; Queen <Consort> of King Rana Bahadur Shah."	"consort_nou"
"They included poets, adventurers, soldiers, scientists and politicians (local and national), as well as the Queen and Prince <Consort>."	"consort_nou"
"The Liberalia (17 March) is the festival of Liber Pater and his <consort> Libera."	"consort_nou"
"Emperor Muzong honored <Consort> Guo as empress dowager."	"consort_nou"
"From 1885, the Prince <Consort> Prize was awarded in alternate years."	"consort_nou"
"He is often accompanied by his <consort> Parvati or shown with Nandi the bull."	"consort_nou"
"In 1780, Charles succeeded his father as sovereign Duke of Brunswick, and Augusta thus became Duchess <consort>."	"consort_nou"
"It wasn't until 2005 that a new Paul Winter <Consort> album was released: The Grammy award-winning Silver Solstice."	"consort_nou"
"It was said that <Consort> Guo tended to him carefully and comforted him."	"consort_nou"
"ReinierMatilda (Maud) of Louvain, countess <consort> of Boulogne as wife of Eustace I of BoulogneEustache I de Fiennes (ca."	"consort_nou"
"Wilhelmina was the longest serving Princess <consort> of Orange."	"consort_nou"
"His <consort> however died a few years later."	"consort_nou"
"Li Siyuan subsequently created <Consort> Cao empress, and later promoted Consort Wang to the rank of Shufei."	"consort_nou"
"Lady Da claims Mercer as her <consort>."	"consort_nou"
"His mother was <Consort> Xiang from the Niohuru clan."	"consort_nou"
"One of Li Heng's other consorts, <Consort> Du, was a daughter of the official Du Youlin (杜有鄰)."	"consort_nou"
"Since 1831, a new crown has been made specially for each queen <consort>."	"consort_nou"
"<Consort> Helan sent her son a message, asking him to save her."	"consort_nou"
"The Silk One (aka Ko Dali's daughter), <consort> of Yakub Beg (Flashman at the Charge)."	"consort_nou"
"Should the Crown Prince ascend the throne as expected, Masako will become empress <consort>."	"consort_nou"
"Choi was given the posthumous title ""Lady Hwagyeong, Royal Noble <Consort> Suk of the Choe clan"" (Hangul: 화경숙빈최씨; Hanja: 和瓊淑嬪崔氏)."	"consort_nou"
"She was married to King Magnus VI of Norway and was Queen <consort> of Norway."	"consort_nou"
"The temple has a number of shrines, with those of Oondreswarar and his <consort> Minnoli Amman being the most prominent."	"consort_nou"
"He will marry his eternal <consort> Lakshmi who is the Heavenly mother."	"consort_nou"
"Srim denotes Lakshmi, Vishnu's <consort>/shakti, thus Dattatreya's shakti is in the mantra."	"consort_nou"
"The devil is a dead-beat dad and his <consort> Lilith couldn't care less."	"consort_nou"
"Throughout Chinese history <consort> kins have exercised great power at various times."	"consort_nou"
"The Empress Matilda: Queen <Consort>, Queen Mother and Lady of the English."	"consort_nou"
"Gormflaith was notable for been the successive queen <consort> of Munster, Leinster and Tara."	"consort_nou"
"His mother Marie Louise was the second wife and Empress <consort> of Napoleon I from 1810 to 1814."	"consort_nou"
"He was the third son of his mother, Imperial Noble <Consort> Jing, who was from the Mongol Borjigin clan."	"consort_nou"
"She also became the first queen ever ruled the three kingdoms of Manila after his <consort> dies."	"consort_nou"
"Agane was a <consort> Countess of Orléans and died before 862."	"consort_nou"
"Isabella of Balzo (24 June 1465 - 1533) was a Queen <consort> of Naples."	"consort_nou"
"The Lives and Liberation of Princess Mandarava: The Indian <Consort> of Padmasambhava."	"consort_nou"
"It was only at this time that officials revealed to Emperor He that he was born of <Consort> Liang."	"consort_nou"
"As an earth goddess in Sumerian mythology, Ki was the chief <consort> of An, the sky god."	"consort_nou"
"She became the fourth wife of Sultan Mahmud Syah and Queen <Consort> of the Johor-Riau Sultanate."	"consort_nou"
"Consort Chen Farong (陳法容) was an imperial <consort> during the Chinese dynasty Liu Song."	"consort_nou"
"By this point, <Consort> Niu was carrying the title of Zhaorong, the sixth highest rank for imperial consorts."	"consort_nou"
"In 180, Emperor Ling made <Consort> He empress to replace his first wife Empress Song, who was deposed in 178."	"consort_nou"
"His principal spouse was Empress Xiaodingjing, while his two consorts were <Consort> Jin and Consort Zhen."	"consort_nou"
"Margrethe and her <consort> Henrik also used the palace as their summer residence."	"consort_nou"
"Outside the temple yard and beyond the northern gate lies the shrine to Teyvanai, the <consort> of Murugan."	"consort_nou"
"Its sequel, A Three Part <Consort> of New Musick (1697), became popular enough to warrant three editions."	"consort_nou"
"She was the longest serving empress <consort> in Chinese history."	"consort_nou"
"Queen Caroline of United Kingdom, queen <consort> of George IV."	"consort_nou"
"Emperor Maximilian's <consort>, Carlota of Mexico, a Belgian princess, was a granddaughter of Louis-Philippe of France."	"consort_nou"
"Eventually, the rebellion faltered after a lack of support from the queen <consort>, Maria de Molina."	"consort_nou"
"Smiltsena (Bulgarian: Смилцена) was the niece of Byzantine Emperor Michael VIII Palaiologos, and empress-<consort> (tsaritsa) of Tsar Smilets of Bulgaria."	"consort_nou"
"This explains the large number of extant photographs of Consort Zhen, an unusual occurrence for a <consort>."	"consort_nou"
"During Dvapara Yuga, Adisesha blocked Vayu from entering Vaikuntam as Lord Vishnu was in the company of his <consort>, Lakshmi."	"consort_nou"
"She was the first <consort> of a Venetian doge with the title and position of dogaressa of Venice."	"consort_nou"
"Queens <consort> Anne Boleyn, Catherine Howard and Caroline of Brunswick were prosecuted for treasonable adultery."	"consort_nou"
"Her mother is credited to be a <consort> of Agni interchangeably known as Svaha and Agnayi (meaning, ""Wife of Agni"")."	"consort_nou"
"Zeenat-un-Nissa (""Jewel among Women"") was probably born at Aurangabad to Dilras Banu Begum, her father's first wife and chief <consort>."	"consort_nou"
"Real power was in the hands of his empress <consort>, Empress Wei and her lover Wu Sansi (Wu Zetian's nephew)."	"consort_nou"
"According to mythology, the goddess Parvathi, the <consort> of Shiva, once offended him."	"consort_nou"
"Princess <consort> is an official title or an informal designation normally accorded to the wife of a sovereign prince."	"consort_nou"
"Vishnu is worshipped as Veeraraghava Perumal and his <consort> Lakshmi as Kamalavalli Thayar."	"consort_nou"
"She adopted very different policies from those of her late <consort>."	"consort_nou"
"He is the paternal grandfather of Queen Sirikit, <consort> of King Bhumibol Adulyadej (Rama IX of Thailand)."	"consort_nou"
"His mother was <Consort> Lan, a concubine of Murong Huang."	"consort_nou"
"She married King Sukjong as his second Queen <Consort> in 1681, at the age of 14."	"consort_nou"
"In 394, Emperor Xiaowu honored his mother, <Consort> Li, as empress dowager."	"consort_nou"
"They supported Jang Huibin, queen <consort> of Sukjong of Joseon from 1688 to 1694."	"consort_nou"
"In the sky, Shiva appeared with his <consort> Parvati and blessed the couple."	"consort_nou"
"Ankhenespepi I or Ankhenesmeryre I was a queen <consort> during the sixth dynasty of Egypt."	"consort_nou"
"In this later version, <Consort> Li was an equal of Consort Liu when she gave birth to Emperor Renzong."	"consort_nou"
"Li Fuguo and <Consort> Zhang, instead, acted first, accusing Li Tan of plotting to kill Li Chu."	"consort_nou"
"Shiva is worshipped as Chandramowleeswarar and his <consort> Parvathi as Amirthambigai."	"consort_nou"
"Cao Cao and <Consort> Sun had three sons: Cao Zishang, Cao Ziqin and Cao Biao."	"consort_nou"
"Li Shing-cheong as Fok Yee-tai (霍爾泰), <Consort> Yim's uncle."	"consort_nou"
"Empress Dou, jealous of how he favored <Consort> Tian, had her immediately put to death."	"consort_nou"
"Some Rauni interpret as a name for the <consort> of Ukko, the Finnish god of thunder."	"consort_nou"
"By that point, Emperor Gaozong's favor for his wife Empress Wang had waned, and his favorite concubine was <Consort> Wu."	"consort_nou"
"Plans were put in place to <construct> suitable facilities for the F-117A at Holloman."	"construct_vrb"
"In 2012, Drax Biomass announced plans to <construct> a 450,000 metric ton per year wood pellet production facility in Gloster."	"construct_vrb"
"India announced a $19.93 million project to <construct> cotton ginneries at Ngabu, Ngara and Balaka in 2009."	"construct_vrb"
"It encourages students to ""<construct> their own meaning"" (with guidance from peers and facilitator of consensus process)."	"construct_vrb"
"Unconstrained by physical limitations, users are free to choose and <construct> their virtual forms and identities."	"construct_vrb"
"Initially, plans were in place to <construct> a Bass Pro store on the location."	"construct_vrb"
"Residents <construct> themed scarecrows and place them outside their houses for a week while there are various fundraising events held."	"construct_vrb"
"There are also plans to <construct> a tram network in Tbilisi."	"construct_vrb"
"The U.S. Congress appropriated $25,000 to <construct> the light on March 3, 1891."	"construct_vrb"
"The area in which Augustus wanted to <construct> Classe was in a lagoon."	"construct_vrb"
"The original appropriation was to <construct> a pair of range lights, for reasons that remain obscure."	"construct_vrb"
"The legislation authorized the expenditure of $25 billion to <construct> these ""interstate highways"" from 1957 to 1969."	"construct_vrb"
"Quickly, the <construct> relationship was abandoned and replaced by the use of the relative particle ܕ, d-, da-."	"construct_nou"
"The granite stone used to <construct> the kerbs are irregular in size, depending upon where they are located."	"construct_vrb"
"In 2010 the club put in a proposal to the council to <construct> a 2600 capacity playing arena."	"construct_vrb"
"One can explicitly <construct> the spinors, and then examine how they behave under the action of the relevant Lie groups."	"construct_vrb"
"The residence remained a rental property until 1930 when it was to be demolished to <construct> a warehouse."	"construct_vrb"
"As studies of online community proliferate, the concept of online community has become a more accepted social <construct>."	"construct_nou"
"We <construct> a new POVM to distinguish between and."	"construct_vrb"
"From this fact it is straightforward to <construct> the limiting points algebraically or by compass and straightedge."	"construct_vrb"
"It is often advantageous to <construct> a CLIN Schedule that matches an outline of the work statement."	"construct_vrb"
"Teams of contestants <construct> elaborate Rube Goldberg style chain-reaction machines on tables arranged around a large gymnasium."	"construct_vrb"
"Next, we define a <construct> called a superfield:f is self-adjoint, of course."	"construct_nou"
"They proved that each of these techniques is as secure as the block cipher that is used to <construct> it."	"construct_vrb"
"In ""Limited"" tournaments, players <construct> decks using booster packs plus any additional basic lands of their choice."	"construct_vrb"
"Additionally, plans are in the works to <construct> new roads connecting littoral towns in the region to the main highway."	"construct_vrb"
"When development is completed, larvae <construct> cocoons to pupate."	"construct_vrb"
"Independent validation studies indicate that the measure demonstrates excellent <construct> validity."	"construct_nou"
"Next, <construct> a ""necklace"" of smaller, linked tori that lie inside A⁰."	"construct_vrb"
"The winery took three years to <construct>, as most of the work was done by Wagner and his family."	"construct_vrb"
"George Marsh contracted Zook and Wilson of Van Wert to <construct> a new hotel for a cost of $28,757."	"construct_vrb"
"In April 1999, the Board of CSU trustees decided to give $27 million to <construct> post-earthquake projects."	"construct_vrb"
"Hinkley Point C nuclear power station is a project to <construct> a 3,200 MW two reactor nuclear power station."	"construct_vrb"
"Here I wanted to depart from the standard three or four movement concerto and <construct> something different."	"construct_vrb"
"Next to the word are several images that can be used to <construct> the word."	"construct_vrb"
"In all, over 1,500 workers helped <construct> the building."	"construct_vrb"
"Identities are a social <construct>, and once cemented, are almost impossible to alter."	"construct_nou"
"Each player uses both hole cards along with the board to <construct> a hand, like in Texas hold 'em."	"construct_vrb"
"All of this makes a rugby infrastructure difficult to <construct>, and the islands are beset by rising sea levels."	"construct_vrb"
"In biological systems, nucleic acids contain information which is used by a living cell to <construct> specific proteins."	"construct_vrb"
"He befriends a woman name Ann and finds work helping <construct> the Hoover Dam."	"construct_vrb"
"The first PPNB period involved construction of massive earth architecture, layering soil with reeds to <construct> walls."	"construct_vrb"
"In 1879, the area was purchased to <construct> the new post edifice, which was unveiled on September 1, 1885."	"construct_vrb"
"Much of the Urus' diet and medicine also revolve around the same totora reeds used to <construct> the islands."	"construct_vrb"
"Frameworks like Spring can <construct> these same objects and wire them together before returning a reference to client."	"construct_vrb"
"Multiple microservers can be put together in a small package to <construct> a microdatacenter."	"construct_vrb"
"Jebediah's research eventually led him to <construct> a machine that enabled him to travel through time and space."	"construct_vrb"
"Following Catholic emancipation in 1829, the need to <construct> churches and cathedrals to serve this population became critically apparent."	"construct_vrb"
"It is possible to <construct> languages which are not even recursively enumerable, however."	"construct_vrb"
"Areva has partnered with engineering contractors to aid in the reconstruction of Iraq by manufacturing equipment to <construct> electrical substations."	"construct_vrb"
"In administrative terms, multiple choice items that are effective usually take a great time to <construct>."	"construct_vrb"
"Poles from different ages in a single area can be used to <construct> an apparent polar wander (APW) path."	"construct_vrb"
"In the following months, the regiment practised their horsemanship, conducted small arms and bayonet training, and learned to <construct> trenches."	"construct_vrb"
"New theory has recognized the layering and potential internal contradictions within all practices that <construct> masculinities."	"construct_vrb"
"The American and Soviet governments enter a race to <construct> identical copies of the machine."	"construct_vrb"
"Franklin writes that Night is the account of the 15-year-old Eliezer, a ""semi-fictional <construct>"", told by the 25-year-old Elie Wiesel."	"construct_nou"
"Lastly, the <construct> could be related to other elements of the work."	"construct_nou"
"In February 1843, the residents formally petitioned the government to <construct> the route."	"construct_vrb"
"Some researchers have used search engines to <construct> sampling frames."	"construct_vrb"
"The design is such that a person with normal mechanical skills can <construct> and operate one."	"construct_vrb"
"In 1898, work began on the <construct> of the Emery meetinghouse."	"construct_nou"
"At this time, Bethlehem decided to <construct> a drydock, although it would take into the 1920s to make this happen."	"construct_vrb"
"His company went on to <construct> the Forth Bridge which was completed in 1890."	"construct_vrb"
"For Hugh and I, the first goal was to <construct> something more intimate."	"construct_vrb"
"In 1926, parts of this building were taken to Point Chevalier and used to <construct> the public library there."	"construct_vrb"
"Conversely, every utility function can be used to <construct> a unique preference relation."	"construct_vrb"
"Novo Ozamiz also expand and <construct> their own bigger building with a hotel named Asia Novotel in 2010."	"construct_vrb"
"Mathematical sociology is the area of sociology that uses mathematics to <construct> social theories."	"construct_vrb"
"He also reportedly helped <construct> the bombs and was one of the first to be arrested."	"construct_vrb"
"Just as Cyrus instructed the Jews of Babylonia to <construct> the Second Temple."	"construct_vrb"
"He struggled to find a new way to <construct> the canal."	"construct_vrb"
"We are thus led to <construct> a hierarchy."	"construct_vrb"
"However, Dudley's mission is not to help <construct> a cathedral, but to spiritually guide Henry and the people around him."	"construct_vrb"
"The commissioner of metro railway safety (Southern Circle) had given permission to <construct> the skywalk."	"construct_vrb"
"He is shown as being turned into an Orange Lantern <construct>."	"construct_nou"
"In 1889 part of the Watersheddings area in north east Oldham was selected to <construct> sporting facilities for the town."	"construct_vrb"
"These were the old caravan routes and British were the first to <construct> asphalt roads on these routes."	"construct_vrb"
"Requires 30 crystals to <construct>; limit of 3."	"construct_vrb"
"This was achieved via 4-D scheduling software that told builders how to <construct> it."	"construct_vrb"
"In particular they outlined a work program that would allow poor people to <construct> and rehabilitate housing."	"construct_vrb"
"They <construct> a cylindrical shelter made from joined leaves of its host plant where it rests during the day."	"construct_vrb"
"Miller and her husband decided to <construct> their own winery in 1980."	"construct_vrb"
"Sandstone was used to <construct> the window and door openings."	"construct_vrb"
"It was agreed that students from several professional schools would <construct> the fisherman while local companies would sponsor the materials."	"construct_vrb"
"Multirotors are generally more affordable, easier to <construct>, and simpler to operate than RC helicopters."	"construct_vrb"
"Native Pewee Valley limestone was used to <construct> the building in a Gothic Revival style."	"construct_vrb"
"EnergyPATHWAYS is a comprehensive accounting framework used to <construct> economy-wide energy infrastructure scenarios."	"construct_vrb"
"In 2010 plans were put forward to <construct> a large detention center at Ketziot for illegal immigrants."	"construct_vrb"
"In 1902 funds were raised to <construct> a church at Washington and Maynard streets."	"construct_vrb"
"Lawrence uses the technology to <construct> the spaceship he has wanted since he was a teenager."	"construct_vrb"
"He became known as ""a <consummate> master of building according to medieval precedent""."	"consummate_adj"
"The more <consummate> the king, the more exemplary the centre."	"consummate_adj"
"Ebenezer and Joan <consummate> their marriage, and Joan falls pregnant."	"consummate_vrb"
"During this time Tasha and Robbie <consummate> their relationship."	"consummate_vrb"
"However, Griffyn and Brenna secretly <consummate> their relationship soon after, and rather than killing Robert he joins their mission."	"consummate_vrb"
"Eventually finding shelter in a mysterious bathhouse, the two rest and <consummate> their growing feelings for each other."	"consummate_vrb"
"Romeo secretly spends the night in Juliet's chamber, where they <consummate> their marriage."	"consummate_vrb"
"He was considered a <consummate> planner, especially in the area of combined operations with land forces."	"consummate_adj"
"And all of them had the <consummate> good sense not to let it escalate""."	"consummate_adj"
"For example, Tyrion's storyline has been sped up, and Tommen is old enough to <consummate> his marriage with Margaery."	"consummate_vrb"
"In these subjects he could give <consummate> pleasure, selling them for more than other artists received for their large pictures."	"consummate_adj"
"Home of the 'Walkers', a species of First Ones who were <consummate> explorers."	"consummate_adj"
"He and Myriam are married beforehand however Myriam is too upset to <consummate> the marriage."	"consummate_vrb"
"Huygens' style was bright and vivacious and he was a <consummate> artist in metrical form."	"consummate_adj"
"However, as they about to <consummate> the relationship, Rachel was shocked by the bedside light and returned to normal."	"consummate_vrb"
"Man's most <consummate> felicity is reflecting Divine attributes."	"consummate_adj"
"Hadaa's <consummate> artistry and use of vivid images can be seen even in his expression of disillusionment."	"consummate_adj"
"The two quickly decide to marry and <consummate> their ""marriage"" after receiving the King's approval."	"consummate_vrb"
"Daystar failed to <consummate> the transaction by tendering cash and shares as per this agreement."	"consummate_vrb"
"During their visit, Molly and Johnny secretly <consummate> their love."	"consummate_vrb"
"Palbasha was the <consummate> professional, perfectly in-pitch and absolutely belying her age, Schyman told the Minneapolis Star-Tribune."	"consummate_adj"
"These include popularized forms such as romantic love (intimacy and passion) and <consummate> love (passion, intimacy, and commitment)."	"consummate_adj"
"The gentlemen leave in such a rush that they cannot <consummate> their marriages."	"consummate_vrb"
"He was a <consummate> pilot and was equally at home with jets and propeller airplanes."	"consummate_adj"
"Marie did not <consummate> her relationship with the Sun King."	"consummate_vrb"
"One night, Twillie again attempts to <consummate> his ""marriage"" by entering Flower Belle's room disguised as the masked bandit."	"consummate_vrb"
"Ada and Inman <consummate> their love, on their final night together."	"consummate_vrb"
"Because of a promise, Valentina has to resort to any trick to prevent the husband to <consummate> the marriage."	"consummate_vrb"
"Nix is recognized as a <consummate> storyteller of early Adventism."	"consummate_adj"
"Among his readers, he is considered one of the most <consummate> Anglophiles in the field of contemporary peninsular literature."	"consummate_adj"
"The Buddha and the arahants (the <Consummate> Ones) can concentrate on the paritta suttas without the aid of another."	"consummate_adj"
"It was the finest opening night performance by a <consummate> musician that I have ever witnessed."""	"consummate_adj"
"Later that night, Jeet and Chhavi <consummate>."	"consummate_vrb"
"She received the 2009 Gold Medal for <Consummate> Craftsmanship from the American Craft Council."	"consummate_adj"
"With <consummate> skill the men who initiated this idea have got possession of the whole Labour movement."""	"consummate_adj"
"When he finally does, Veronica allows Palestrina to <consummate> their affair with a long, passionate episode of lovemaking."	"consummate_vrb"
"Barras, the <consummate> intriguer, won La Révelliere Lépeaux over to his side, and began planning the downfall of the royalists."	"consummate_adj"
"That is the position of <consummate> trust and authority."	"consummate_adj"
"Aryan and Khushi <consummate>, as Khushi believes that Aryan loves her once again."	"consummate_vrb"
"In 1969, Audrey returns and marries Dr. Tom Baldwin, who rapes her when she refuses to <consummate> their marriage."	"consummate_vrb"
"Under the guidance of Doctor Hughball and Barbara Blaze, the couple retire to bed and <consummate> their marriage."	"consummate_vrb"
"Chattakkari is the love story of an Anglo-Indian girl (Lakshmi) and a Hindu boy (Mohan Sharma) who <consummate> the relationship."	"consummate_vrb"
"It was the <consummate> ""how-to"" manual for the dry-fly fisherman."	"consummate_adj"
"His bravery was that of Putnam, tempered with <consummate> prudence."	"consummate_adj"
"He is also a <consummate> military strategist and spy, and a master of disguise and excellent actor."	"consummate_adj"
"At the opening Naosuke is pressuring Osode to <consummate> their marriage, to which she seems oddly averse."	"consummate_vrb"
"Thus, <consummate> love may not be permanent."	"consummate_adj"
"Throughout the second season of Cheers, Sam and Diane <consummate> their relationship, which becomes dysfunctional."	"consummate_vrb"
"For consummate bravery asks for <consummate> cause."	"consummate_adj"
